"","time","X18.03","X28.03","X32","X40","X44.06","X45.06","TP","N2.Ar","O2.Ar","N2.O2","O2..uM.","O2.Sat....","Temp..C.","Calphase..C.","TCphase..C.","C1..C.","C2..C.","inlet","sock","outlet","MS","flow"
"467",2017-06-02 12:10:00,9.14603004291846e-09,4.46800429184549e-07,1.12206008583691e-07,4.36081545064378e-09,2.93834763948498e-10,4.14517167381974e-12,4.09896995708154e-06,102.461594835837,25.7360037975751,3.98125712546781,325.302675965665,109.350933476395,17.6479871244635,27.3977124463519,28.657669527897,33.2431502145923,4.5855,16.830945977382,16.9721254671459,16.9038951038841,46.5911812192489,99.9912040888627
"933",2017-06-02 12:20:00,9.21792291220557e-09,4.49244111349036e-07,1.14094218415418e-07,4.38929336188437e-09,2.92766595289079e-10,4.12747323340471e-12,4.13235546038544e-06,102.351141623769,25.9887486084582,3.93836572788437,335.063597430407,112.108023554604,17.4224068522484,27.1684946466809,28.4531970021413,33.0388051391863,4.58552248394004,16.6312070929122,16.7476140748608,16.7046599626552,46.5131727463169,99.9832772983726
"1400",2017-06-02 12:30:00,9.23948497854077e-09,4.50643776824034e-07,1.15564377682403e-07,4.41324034334764e-09,2.93328326180258e-10,4.10567167381974e-12,4.15742489270386e-06,102.115939959871,26.1883610597639,3.89930123233906,340.689886266094,113.533163090129,17.2297660944206,27.0667703862661,28.3625,32.9458690987124,4.5836330472103,16.4234672191631,16.5821152065451,16.4956923724464,46.5152246700858,99.9621467584979
"1866",2017-06-02 12:40:00,9.6343991416309e-09,4.50042918454936e-07,1.15549356223176e-07,4.41021459227468e-09,2.90480686695279e-10,4.15615879828326e-12,4.1455364806867e-06,102.046641320172,26.2062936153004,3.89399716554936,337.007575107296,112.310319742489,17.2329549356223,27.1837103004292,28.4668240343348,33.0483798283262,4.58162446351931,16.4845182888627,16.5243653397854,16.560116813691,46.5862143849785,100.002866089764
"2332",2017-06-02 12:50:00,9.41556989247312e-09,4.47531182795699e-07,1.13810752688172e-07,4.38460215053763e-09,2.9305376344086e-10,4.17377419354839e-12,4.11012903225806e-06,102.068744402366,25.949336068086,3.93345370802796,327.586277419355,110.112146236559,17.6437806451613,27.3236086021505,28.5914860215054,33.1747247311828,4.58300430107527,16.8321995894624,16.9416308334624,16.9048137054624,46.5306137908817,99.9960298070108
"2797",2017-06-02 13:00:00,9.35605995717345e-09,4.47265524625268e-07,1.13282655246253e-07,4.38597430406852e-09,2.92561027837259e-10,4.16723768736617e-12,4.10477516059957e-06,101.980249961884,25.8146050591863,3.95051385802141,331.099481798715,110.480916488223,17.2921777301927,27.3512591006424,28.6162376873662,33.1956659528908,4.57940899357602,16.4939652309422,16.6268539924197,16.5666202001713,46.3067081302141,99.9941796016488
"3264",2017-06-02 13:10:00,9.11839055793991e-09,4.4787339055794e-07,1.1393991416309e-07,4.39115879828326e-09,2.90817596566524e-10,4.08213733905579e-12,4.1150643776824e-06,101.996237212446,25.9222869361588,3.93469768186481,331.831746781116,110.670388412017,17.2676158798283,27.3372253218884,28.6035407725322,33.1813927038627,4.57770386266094,16.4929459870815,16.5743525434335,16.5665488842704,46.1514121786695,99.9926490956652
"3730",2017-06-02 13:20:00,9.43604651162791e-09,4.48802325581395e-07,1.14343023255814e-07,4.39337209302326e-09,2.96244186046512e-10,4.10488372093023e-12,4.14354651162791e-06,102.151468598256,26.0407383818605,3.92275634018605,334.918988372093,111.569953488372,17.2121627906977,27.2591686046512,28.5339534883721,33.1102034883721,4.57625,16.3825531010465,16.5743315948256,16.4522918000581,46.132986201686,99.8610999605814
"1413",2017-06-02 21:02:00,8.21320261437908e-09,4.51106753812636e-07,1.14220043572985e-07,4.39150326797386e-09,3.06204793028322e-10,4.17656209150327e-12,4.15605664488017e-06,102.722652300654,25.9963155201961,3.95148653511983,332.011897603486,111.120058823529,17.4367908496732,27.2619106753813,28.5364095860566,33.1071960784314,4.5707385620915,16.6464308534423,16.7332026332898,16.7187312512854,46.4257325156209,100.023699309891
"1872",2017-06-02 21:12:00,8.50092274678112e-09,4.46723175965665e-07,1.13401287553648e-07,4.36723175965665e-09,3.03115879828326e-10,4.16255793991416e-12,4.1350643776824e-06,102.296289398712,25.9741248704936,3.93839233795494,331.04280472103,110.891673819742,17.4784699570815,27.276517167382,28.5495836909871,33.1206287553648,4.57124463519313,16.6903447494635,16.7780258119957,16.7637972856652,46.3401724363734,99.9582937093133
"2338",2017-06-02 21:22:00,8.52546038543897e-09,4.44295503211991e-07,1.1278800856531e-07,4.34747323340471e-09,3.00886509635974e-10,4.07970235546039e-12,4.11265524625268e-06,102.198208277088,25.9237896557602,3.94225681665739,330.437107066381,110.533211991435,17.4108436830835,27.3242826552463,28.5920877944325,33.1613940042827,4.56930620985011,16.6218231661884,16.7161252927195,16.69427496803,46.3605058498929,99.980468553212
"2805",2017-06-02 21:32:00,8.52431330472103e-09,4.42487124463519e-07,1.12665236051502e-07,4.33259656652361e-09,2.99710300429185e-10,4.08643776824034e-12,4.10532188841202e-06,102.138723680258,25.9928169228326,3.92950015121888,332.677969957082,110.790993562232,17.1980686695279,27.3379506437768,28.6043755364807,33.1727768240343,4.5685,16.4094328660944,16.534217867897,16.4814073955794,46.3700188899571,99.9856878670386
"3271",2017-06-02 21:42:00,8.50603004291845e-09,4.40931330472103e-07,1.12206008583691e-07,4.31989270386266e-09,2.97663090128755e-10,4.03939270386266e-12,4.09210300429185e-06,102.067827166094,26.0064876843133,3.92471464037124,333.223087982833,110.689465665236,17.075839055794,27.3703862660944,28.63330472103,33.2018798283262,4.56862875536481,16.2942806133906,16.410370528412,16.3658057616094,46.3614577923391,100.013378807961
"3737",2017-06-02 21:52:00,8.50689507494647e-09,4.41152034261242e-07,1.12715203426124e-07,4.31839400428265e-09,2.96539614561028e-10,4.03736616702355e-12,4.10074946466809e-06,102.157053085011,26.0845987560385,3.91637485411349,333.527605995717,110.921364025696,17.1322098501071,27.3371905781585,28.6037023554604,33.171182012848,4.56738329764454,16.355309889015,16.4489833664454,16.4273592771306,46.4050679181156,100.039902336617
"4204",2017-06-02 22:02:00,8.48100858369099e-09,4.40214592274678e-07,1.12645922746781e-07,4.30783261802575e-09,2.94309012875537e-10,4.02324678111588e-12,4.10321888412017e-06,102.187786504936,26.1329819013519,3.91030054475536,334.465332618026,111.037433476395,17.0479699570815,27.3414141630901,28.6075557939914,33.1737660944206,4.56621030042918,16.2830540084335,16.3637900295923,16.3572824506438,46.4245666376395,99.964518157897
"4670",2017-06-02 22:12:00,8.431330472103e-09,4.38538626609442e-07,1.12042918454936e-07,4.29236051502146e-09,2.92075107296137e-10,3.97708154506438e-12,4.09287553648069e-06,102.17402172618,26.1154398466309,3.9124021522618,334.009950643777,111.078461373391,17.1307553648069,27.3221716738197,28.5903154506438,33.1553412017167,4.56485407725322,16.3585581641416,16.4440850520601,16.4321585728755,46.4553377213519,99.9755386382618
"5136",2017-06-02 22:22:00,8.4282869379015e-09,4.38858672376874e-07,1.1224625267666e-07,4.29702355460385e-09,2.91216274089936e-10,3.96970021413276e-12,4.10802997858672e-06,102.125284940899,26.1160734800214,3.91043855949251,332.751413276231,110.987256959315,17.2723875802998,27.3050064239829,28.5749721627409,33.1395374732334,4.56463597430407,16.4977732627623,16.649214163212,16.5713123268951,46.4408915685011,100.009184938651
"5603",2017-06-02 22:32:00,8.44222222222222e-09,4.38666666666667e-07,1.12e-07,4.29666666666667e-09,2.90555555555556e-10,4.05e-12,4.11e-06,102.101701066667,26.0931333344444,3.912971129,330.802555555556,110.518222222222,17.3512222222222,27.3366666666667,28.6031111111111,33.1683333333333,4.56533333333333,16.5844116211111,16.7672966855556,16.6574469677778,46.1197713222222,99.7203994833333
"7014",2017-06-02 23:02:00,7.94852747252747e-09,4.43046153846154e-07,1.1187032967033e-07,4.31716483516484e-09,2.91384615384615e-10,3.9494e-12,4.13569230769231e-06,102.619961796923,25.9153226393846,3.95986287896923,327.593446153846,110.326901098901,17.7377934065934,27.284556043956,28.556756043956,33.1249274725275,4.56822197802198,16.9391551933407,17.0233826361319,17.0124334653407,46.1342290527692,99.9961615078462
"7469",2017-06-02 23:12:00,8.24276231263383e-09,4.38055674518201e-07,1.11083511777302e-07,4.28558886509636e-09,2.88710920770878e-10,3.90957173447537e-12,4.10062098501071e-06,102.20674964197,25.9241827410921,3.94252965913919,328.588359743041,110.650616702355,17.7328436830835,27.2537516059957,28.5292312633833,33.0966017130621,4.56752034261242,16.9336970004711,17.0209193101713,17.008483756531,46.2518792819272,99.9341127754176
"7936",2017-06-02 23:22:00,8.32038626609442e-09,4.36869098712446e-07,1.11047210300429e-07,4.28309012875536e-09,2.87648068669528e-10,3.9053669527897e-12,4.09540772532189e-06,102.001618112661,25.9313367696996,3.93353043180043,327.301032188841,110.477439914163,17.8471888412017,27.2498090128755,28.525635193133,33.0938154506438,4.56822746781116,17.0501220447425,17.1236306386266,17.122859055,46.2649337705579,99.9889589309227
"8402",2017-06-02 23:32:00,8.38057815845824e-09,4.37027837259101e-07,1.11029978586724e-07,4.28698072805139e-09,2.87646680942184e-10,3.88644325481799e-12,4.10087794432548e-06,101.943617299572,25.9003751044968,3.93599016860385,326.740858672377,110.43225267666,17.9102997858672,27.2426423982869,28.5193468950749,33.0878072805139,4.56837901498929,17.1058546311777,17.1804365207923,17.1804135836403,46.2451837772377,99.9882222398715
"8869",2017-06-02 23:42:00,8.42336909871245e-09,4.36768240343348e-07,1.11012875536481e-07,4.28302575107296e-09,2.87793991416309e-10,3.89878755364807e-12,4.10497854077253e-06,101.985682734335,25.9079448521459,3.93646370935193,327.30006223176,110.672948497854,17.9328819742489,27.2150042918455,28.4946287553648,33.0635751072961,4.56882832618026,17.1264580332833,17.2068005351288,17.2014206001717,46.2722810415451,99.9560379141845
"9335",2017-06-02 23:52:00,8.43855614973262e-09,4.36438502673797e-07,1.11040106951872e-07,4.28254010695187e-09,2.87649732620321e-10,3.92094117647059e-12,4.10540106951872e-06,101.91311853262,25.9189334516845,3.93199587265241,328.369139037433,111.21993315508,18.0137299465241,27.1468930481283,28.4337139037433,33.0036550802139,4.56971657754011,17.2126677820321,17.2800559799198,17.2848762068182,46.2508660794385,100.053017580749
"12",2017-06-03 00:00:00,8.46830472103004e-09,4.37420600858369e-07,1.11772532188841e-07,4.29538626609442e-09,2.84927038626609e-10,3.86202575107296e-12,4.12442060085837e-06,101.837619804506,26.0354195096781,3.91152805940773,332.325495708155,112.715384120172,18.0810858369099,26.9902424892704,28.2940622317597,32.8653519313305,4.57112231759657,17.2724435182189,17.3457749661588,17.3463376423391,46.2658709746137,99.955763020794
"4671",2017-06-03 00:10:00,8.51285407725322e-09,4.3931974248927e-07,1.12944206008584e-07,4.31418454935622e-09,2.84072961373391e-10,3.82979613733906e-12,4.15038626609442e-06,101.834054398712,26.1942624562232,3.88765212934335,333.862495708154,113.660725321888,18.2633969957082,26.8669313304721,28.1842103004292,32.7581630901288,4.5741008583691,17.4522925124893,17.5142101243777,17.5247407190987,46.2677753762876,99.9744703537983
"9331",2017-06-03 00:20:00,8.51326180257511e-09,4.38742489270386e-07,1.12811158798283e-07,4.30690987124464e-09,2.83257510729614e-10,3.85476394849785e-12,4.1518025751073e-06,101.86401727897,26.1909948589485,3.88927990288412,332.141817596567,112.99802360515,18.2299463519313,26.9361738197425,28.2460321888412,32.8196931330472,4.57369313304721,17.4007383687554,17.4832159219313,17.4792388788412,46.1839363204936,99.9840813358584
"1399",2017-06-03 00:30:00,8.50603773584906e-09,4.37877358490566e-07,1.12207547169811e-07,4.29377358490566e-09,2.83792452830189e-10,3.84103773584906e-12,4.13716981132076e-06,101.980568786792,26.139555989717,3.90139106037736,330.519839622641,112.475235849057,18.2426320754717,26.9837641509434,28.2883679245283,32.8611037735849,4.57264150943396,17.4719759384906,17.5014340385849,17.5322271389623,46.1411815145283,99.9156673565094
