Cruise,Event#,StndLine,StndSta,CalcLine,CalcSta,DatePST,TimePST,DecLat,DecLon,Activity,Event,Operator,DateUTC,TimeUTC,Comments,Ord_Occ
1706,2,pre-stuff,,93,31.4,1-Jun-17,10:49:17 AM,32.84833,-117.6626,Ancillary,Test,CA,20,17:49:13,,1
1706,3,pre-stuff,,90.9,34.4,1-Jun-17,2:19:30 PM,33.11243,-118.1065,CTD,CTD DEPLOYED,2M,1-Jun-17,21:19:29,SEA CONDITIONS: Calm;DAY/NIGHT: Day,1
1706,4,pre-stuff,,90.9,34.4,1-Jun-17,2:38:41 PM,33.11242,-118.1066,CTD,CTD AT DEPTH,2M,1-Jun-17,21:38:39,,1
1706,5,pre-stuff,,90.9,34.4,1-Jun-17,3:03:49 PM,33.11242,-118.1066,CTD,CTD RECOVERED,2M,1-Jun-17,22:03:50,SEA CONDITIONS: Calm;CYCLE: Before;DAY/NIGHT: Day,1
1706,6,pre-stuff,,90.9,34.4,1-Jun-17,3:54:17 PM,33.11241,-118.1066,Ancillary,TRACE ROSETTE DEPLOYED,CM,1-Jun-17,22:54:21,,1
1706,7,pre-stuff,,90.9,34.4,1-Jun-17,4:17:11 PM,33.11243,-118.1066,Ancillary,TRACE ROSETTE RECOVERED,CM,1-Jun-17,23:17:09,SEA CONDITIONS: Calm;DAY/NIGHT: Day,1
1706,8,pre-stuff,,90.9,34.4,1-Jun-17,4:54:38 PM,33.11195,-118.1077,BONGO,BONGO DEPLOYED,CM,1-Jun-17,23:54:37,SEA CONDITIONS: Calm;DAY/NIGHT: Day,1
1706,9,pre-stuff,,90.9,34.6,1-Jun-17,5:19:47 PM,33.10842,-118.1146,BONGO,BONGO RECOVERED,3M,2-Jun-17,0:19:47,SEA CONDITIONS: Calm;DAY/NIGHT: Day,1
1706,10,pre-stuff,,90.9,34.6,1-Jun-17,5:41:08 PM,33.10842,-118.1188,Ancillary,MVP DEPLOYED,CM,2-Jun-17,0:41:09,SEA CONDITIONS: Calm;DAY/NIGHT: Day,1
1706,11,pre-stuff,,90.6,35.5,1-Jun-17,6:23:30 PM,33.12983,-118.2124,Ancillary,MVP RECOVERED,CM,2-Jun-17,1:23:28,,1
