cycle #	time	18.03	28.03	32	40	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/4/21 3:48 PM	3.95E-09	3.12E-07	7.83E-08	3.49E-09	3.15E-10	4.12E-12	3.96E-06	89.55471042	22.47104212	3.985338551	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.03308106	11.10269165	11.11672974	45.45401001	12.58600731
1	6/4/21 3:48 PM	4.72E-09	3.43E-07	8.14E-08	3.58E-09	3.27E-10	4.12E-12	3.96E-06	95.6101092	22.73216867	4.205938755	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.03088379	11.10025024	11.11404419	45.44192505	24.8780632
2	6/4/21 3:48 PM	5.01E-09	3.56E-07	8.29E-08	3.62E-09	3.31E-10	4.31E-12	3.94E-06	98.29722039	22.89708129	4.293002202	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.03158569	11.10180664	11.11486816	45.44647217	27.7929594
3	6/4/21 3:48 PM	5.16E-09	3.63E-07	8.35E-08	3.63E-09	3.32E-10	4.14E-12	3.94E-06	99.87583151	23.00420655	4.341633401	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.03457642	11.10372925	11.11856079	45.45968628	27.92231083
4	6/4/21 3:48 PM	5.24E-09	3.65E-07	8.37E-08	3.63E-09	3.32E-10	4.17E-12	3.94E-06	100.5776218	23.05446996	4.362608292	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.03167725	11.10119629	11.115448	45.45214844	29.57355817
5	6/4/21 3:48 PM	5.27E-09	3.69E-07	8.42E-08	3.65E-09	3.34E-10	4.18E-12	3.94E-06	101.2288846	23.09839643	4.382507026	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.03323364	11.1013794	11.11529541	45.4446106	34.85765719
6	6/4/21 3:48 PM	5.30E-09	3.70E-07	8.42E-08	3.64E-09	3.34E-10	4.28E-12	3.96E-06	101.7106181	23.14508809	4.394479627	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.03308106	11.10162354	11.11630249	45.44830322	36.67981793
7	6/4/21 3:48 PM	5.31E-09	3.71E-07	8.43E-08	3.64E-09	3.35E-10	4.31E-12	3.96E-06	102.0039214	23.16222066	4.403892135	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.03341675	11.10290527	11.1166687	45.44985962	39.10606356
8	6/4/21 3:48 PM	5.32E-09	3.71E-07	8.43E-08	3.64E-09	3.34E-10	4.36E-12	3.94E-06	102.0159828	23.16535051	4.403817797	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.03469849	11.10293579	11.11691284	45.44958496	40.89373881
9	6/4/21 3:48 PM	5.33E-09	3.71E-07	8.41E-08	3.63E-09	3.32E-10	4.32E-12	3.94E-06	102.1093355	23.16366411	4.408168547	1	4835	159	306.748	90.437	11.624	30.712	31.614	36.066	4.452	720.5	668.9	433.9	11.0345459	11.10266113	11.11541748	45.44763184	43.8907382
