cycle #	time	18.03	28.03	32	40	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/4/21 21:02	3.84E-09	3.10E-07	6.50E-08	3.42E-09	3.17E-10	4.18E-12	3.83E-06	90.55980747	18.97397272	4.772843769	2	4835	159	239.365	69.671	11.067	33.927	34.482	38.921	4.439	806.2	674.1	452	10.46972656	10.54293823	10.55606079	45.79406738	33.61034702
1	6/4/21 21:02	4.55E-09	3.38E-07	6.73E-08	3.51E-09	3.27E-10	4.13E-12	3.83E-06	96.30964937	19.16601359	5.025022493	2	4835	159	239.365	69.671	11.067	33.927	34.482	38.921	4.439	806.2	674.1	452	10.46902466	10.54232788	10.55654907	45.8024292	38.06700735
2	6/4/21 21:02	4.81E-09	3.51E-07	6.84E-08	3.55E-09	3.33E-10	4.15E-12	3.83E-06	98.83048727	19.27720048	5.126807048	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46801758	10.54074097	10.55560303	45.79437256	40.7246757
3	6/4/21 21:02	4.95E-09	3.58E-07	6.92E-08	3.57E-09	3.35E-10	4.27E-12	3.83E-06	100.4027237	19.38325745	5.179868448	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46734619	10.54177856	10.55599976	45.80575562	43.21296283
4	6/4/21 21:02	5.03E-09	3.62E-07	6.94E-08	3.57E-09	3.35E-10	4.35E-12	3.83E-06	101.2897693	19.43606829	5.211433085	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46740723	10.54275513	10.55599976	45.79940796	45.70652436
5	6/4/21 21:02	5.06E-09	3.63E-07	6.95E-08	3.57E-09	3.34E-10	4.29E-12	3.82E-06	101.8009439	19.47657796	5.22683934	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46694946	10.54165649	10.55508423	45.80563355	48.72465056
6	6/4/21 21:02	5.09E-09	3.65E-07	6.96E-08	3.57E-09	3.35E-10	4.32E-12	3.83E-06	102.0824666	19.49476322	5.236404538	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46667481	10.54177856	10.55526733	45.80545044	50.76640402
7	6/4/21 21:02	5.10E-09	3.66E-07	6.97E-08	3.57E-09	3.36E-10	4.21E-12	3.82E-06	102.3669916	19.49066885	5.252102551	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46600342	10.54244995	10.55584717	45.80706787	52.35341539
8	6/4/21 21:02	5.10E-09	3.65E-07	6.95E-08	3.56E-09	3.34E-10	4.25E-12	3.82E-06	102.5718452	19.52833134	5.252463379	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46640015	10.54214478	10.55535889	45.80429077	54.74210194
9	6/4/21 21:02	5.10E-09	3.66E-07	6.97E-08	3.57E-09	3.35E-10	4.25E-12	3.83E-06	102.5619856	19.5275712	5.252162932	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46533203	10.54217529	10.55532837	45.79736328	55.46047658
10	6/4/21 21:02	5.11E-09	3.67E-07	6.98E-08	3.57E-09	3.36E-10	4.36E-12	3.83E-06	102.7055992	19.52493996	5.26022612	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46487427	10.5411377	10.5559082	45.78182983	59.61963517
11	6/4/21 21:02	5.13E-09	3.66E-07	6.97E-08	3.57E-09	3.36E-10	4.31E-12	3.82E-06	102.7142446	19.53214606	5.258728061	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46530151	10.54187012	10.55569458	45.77243042	62.3695648
12	6/4/21 21:02	5.13E-09	3.66E-07	6.96E-08	3.56E-09	3.36E-10	4.27E-12	3.80E-06	102.9501032	19.55991205	5.263321373	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46481323	10.54147339	10.55554199	45.76382446	62.95330593
13	6/4/21 21:02	5.12E-09	3.66E-07	6.96E-08	3.56E-09	3.34E-10	4.26E-12	3.83E-06	102.822185	19.52988176	5.264864694	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.46508789	10.54177856	10.55535889	45.75674439	65.67261579
14	6/4/21 21:02	5.11E-09	3.67E-07	6.98E-08	3.57E-09	3.35E-10	4.35E-12	3.83E-06	102.9196512	19.55380321	5.263408355	2	4835	159	239.035	69.565	11.06	33.947	34.501	38.933	4.432	806.9	674	452.3	10.4644165	10.54052734	10.55490112	45.74536133	67.01176916
