cycle #	time	18.03	28.03	32	40	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
8259	6/5/21 12:00 AM	4.14E-09	2.22E-07	5.24E-08	2.19E-09	1.57E-10	2.81E-12	2.28E-06	100.9586078	23.88200944	4.22739167	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.73217773	11.83963013	11.85305786	45.7626648	100.464465
8260	6/5/21 12:00 AM	4.15E-09	2.22E-07	5.25E-08	2.19E-09	1.57E-10	2.61E-12	2.28E-06	101.4202401	23.97897726	4.2295482	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.73287964	11.83938599	11.85415649	45.7701416	100.5148533
8261	6/5/21 12:00 AM	4.16E-09	2.22E-07	5.24E-08	2.18E-09	1.57E-10	2.34E-12	2.28E-06	101.4095186	23.97657694	4.229524457	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.7315979	11.83901978	11.85229492	45.76611328	100.9090921
8262	6/5/21 12:00 AM	4.15E-09	2.22E-07	5.25E-08	2.19E-09	1.58E-10	2.66E-12	2.28E-06	101.2784214	23.94272055	4.230029798	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.73202515	11.83938599	11.85250855	45.76522827	99.9134309
8263	6/5/21 12:00 AM	4.14E-09	2.22E-07	5.26E-08	2.20E-09	1.57E-10	2.30E-12	2.28E-06	101.2113445	23.93464367	4.228654742	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.73294067	11.83892822	11.85308838	45.76681519	100.1540685
8264	6/5/21 12:00 AM	4.16E-09	2.22E-07	5.25E-08	2.19E-09	1.57E-10	2.41E-12	2.28E-06	101.4451659	23.97228707	4.231768357	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.7328186	11.84100342	11.85339356	45.77316284	99.95991765
8265	6/5/21 12:00 AM	4.16E-09	2.22E-07	5.24E-08	2.19E-09	1.57E-10	2.30E-12	2.28E-06	101.1848567	23.91647704	4.23075926	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.73269653	11.83969116	11.85186768	45.77087402	99.35019863
8266	6/5/21 12:00 AM	4.16E-09	2.22E-07	5.25E-08	2.19E-09	1.58E-10	2.32E-12	2.29E-06	101.2554173	23.93956724	4.229626054	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.7326355	11.83901978	11.85321045	45.76913452	100.2117225
8267	6/5/21 12:00 AM	4.16E-09	2.22E-07	5.24E-08	2.19E-09	1.57E-10	2.24E-12	2.28E-06	101.320844	23.93940115	4.23238841	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.7310791	11.83883667	11.85198975	45.76580811	99.12044097
8268	6/5/21 12:00 AM	4.16E-09	2.21E-07	5.22E-08	2.18E-09	1.57E-10	2.44E-12	2.28E-06	101.4305669	23.94571421	4.235854734	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.73303223	11.84066773	11.85290527	45.77676392	98.64560847
8269	6/5/21 12:00 AM	4.15E-09	2.22E-07	5.24E-08	2.19E-09	1.58E-10	2.51E-12	2.28E-06	101.3366607	23.9335848	4.234077829	1	4835	159	322.782	96.845	12.393	29.766	30.771	35.231	4.461	694.8	664.4	408.8	11.73153687	11.83929443	11.8515625	45.77102661	99.73910312
