cycle #	time	18.03	28.03	32.03	40.03	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
53652	6/6/21 12:00 AM	7.41E-09	4.53E-07	1.14E-07	4.37E-09	3.06E-10	3.94E-12	4.39E-06	103.8254273	26.10233116	3.977630452	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.51855469	13.58175659	13.59506226	45.39779663	100.422002
53653	6/6/21 12:00 AM	7.40E-09	4.52E-07	1.14E-07	4.36E-09	3.07E-10	3.95E-12	4.39E-06	103.7254515	26.11330392	3.972130521	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.51763916	13.58117676	13.59387207	45.40335083	100.9886466
53654	6/6/21 12:00 AM	7.39E-09	4.53E-07	1.14E-07	4.37E-09	3.07E-10	3.93E-12	4.39E-06	103.7162089	26.09959908	3.973862149	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.51889038	13.58184815	13.59423828	45.4019165	100.2243408
53655	6/6/21 12:00 AM	7.40E-09	4.54E-07	1.14E-07	4.38E-09	3.07E-10	3.90E-12	4.41E-06	103.6435287	26.08645786	3.973077879	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.519104	13.58108521	13.59381104	45.4012146	100.8628031
53656	6/6/21 12:00 AM	7.40E-09	4.53E-07	1.14E-07	4.37E-09	3.06E-10	3.90E-12	4.39E-06	103.6135387	26.07215494	3.9741072	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.5184021	13.58154297	13.59460449	45.40176392	99.96874401
53657	6/6/21 12:00 AM	7.41E-09	4.54E-07	1.14E-07	4.39E-09	3.08E-10	3.92E-12	4.41E-06	103.579147	26.07347289	3.972587291	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.519104	13.58084106	13.59402466	45.40322876	99.9803438
53658	6/6/21 12:00 AM	7.42E-09	4.55E-07	1.15E-07	4.39E-09	3.06E-10	3.95E-12	4.39E-06	103.6570684	26.07923574	3.974697318	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.51885986	13.58093262	13.59521484	45.40176392	100.5753344
53659	6/6/21 12:00 AM	7.41E-09	4.54E-07	1.14E-07	4.37E-09	3.06E-10	3.93E-12	4.41E-06	103.8405126	26.11845382	3.975752673	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.51904297	13.58203125	13.59542847	45.40557861	98.85784967
53660	6/6/21 12:00 AM	7.42E-09	4.53E-07	1.14E-07	4.37E-09	3.05E-10	3.82E-12	4.39E-06	103.7376363	26.09395638	3.975542642	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.51846314	13.58273315	13.59634399	45.40417481	99.9125648
53661	6/6/21 12:00 AM	7.40E-09	4.53E-07	1.14E-07	4.37E-09	3.06E-10	3.80E-12	4.39E-06	103.7676206	26.1023918	3.975406597	2	4835	159	344.37	107.545	14.192	28.231	29.401	33.887	4.486	653.6	653.6	349.8	13.51861572	13.58200073	13.59613037	45.4050293	100.1460113
