cycle #	time	18.03	28.03	32.03	40.03	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2		ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/6/21 4:07 AM	7.23E-13	6.15E-13	5.74E-13	5.36E-13	5.35E-13	5.16E-13	4.13E-06	1.146609033	1.070717283	1.070879355		4835	159	345.263	105.716	13.298	28.597	29.727	34.197	4.47	665.9	659.8	379.2	12.6270752	12.81500244	12.73184204	45.25234985	0.204399494
1	6/6/21 4:07 AM	6.94E-14	5.75E-14	6.42E-14	5.85E-14	5.01E-14	5.21E-14	4.13E-06	0.982294805	1.097078962	0.89537293		4835	159	345.263	105.716	13.298	28.597	29.727	34.197	4.47	665.9	659.8	379.2	12.62698364	12.81207275	12.73202515	45.253479	0.20442751
2	6/6/21 4:07 AM	1.65E-14	6.51E-15	1.92E-14	6.38E-15	8.00E-16	-1.67E-14	4.13E-06	1.020713137	3.014715568	0.338576928		4835	159	345.263	105.716	13.298	28.597	29.727	34.197	4.47	665.9	659.8	379.2	12.62637329	12.81039429	12.7314148	45.25091553	0.204595623
3	6/6/21 4:07 AM	-2.72E-14	-3.42E-14	-4.06E-14	-3.80E-14	-3.58E-14	-5.03E-14	4.13E-06	0.899645912	1.067690796	0.842609036		4835	159	344.8	105.583	13.302	28.61	29.739	34.205	4.466	665.9	659.7	379	12.62686157	12.81100464	12.7328186	45.24996948	0.204651655
4	6/6/21 4:07 AM	-5.38E-14	-5.12E-14	-5.40E-14	-5.44E-14	-6.03E-14	-5.78E-14	4.13E-06	0.941772305	0.993040045	0.948372938		4835	159	344.8	105.583	13.302	28.61	29.739	34.205	4.466	665.9	659.7	379	12.62817383	12.81027222	12.73208618	45.24783325	0.204539592
5	6/6/21 4:07 AM	-5.37E-14	-5.03E-14	-5.03E-14	-5.69E-14	-5.48E-14	-5.96E-14	4.15E-06	0.88475293	0.88488764	0.999847766		4835	159	344.8	105.583	13.302	28.61	29.739	34.205	4.466	665.9	659.7	379	12.62744141	12.81060791	12.73342896	45.25204468	0.20417535
6	6/6/21 4:07 AM	-6.78E-14	-6.87E-14	-5.93E-14	-6.40E-14	-6.19E-14	-6.29E-14	4.13E-06	1.072494222	0.925864967	1.158370022		4835	159	344.8	105.583	13.302	28.61	29.739	34.205	4.466	665.9	659.7	379	12.62796021	12.80856323	12.73242188	45.24728394	0.204511576
7	6/6/21 4:07 AM	-6.64E-14	-6.31E-14	-5.84E-14	-6.06E-14	-5.99E-14	-6.24E-14	4.13E-06	1.041966108	0.964324816	1.080513631		4835	159	344.8	105.583	13.302	28.61	29.739	34.205	4.466	665.9	659.7	379	12.62774658	12.81015015	12.73321533	45.24713135	0.204287412
8	6/6/21 4:07 AM	-5.18E-14	-5.86E-14	-6.04E-14	-6.17E-14	-5.77E-14	-5.87E-14	4.13E-06	0.949278551	0.979071382	0.969570318		4835	159	344.8	105.583	13.302	28.61	29.739	34.205	4.466	665.9	659.7	379	12.62896729	12.81201172	12.7328186	45.24783325	0.204091283
9	6/6/21 4:07 AM	-6.11E-14	-4.75E-14	-6.20E-14	-6.16E-14	-5.66E-14	-6.66E-14	4.11E-06	0.770848095	1.007160339	0.765367802		4835	159	344.8	105.583	13.302	28.61	29.739	34.205	4.466	665.9	659.7	379	12.62789917	12.81417847	12.73291016	45.25036621	0.204539592
