cycle #	time	18.03	28.03	32.03	40.03	44.06	45.06	TP	N2/Ar	O2/Ar	N2/O2	valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/6/21 4:40 AM	4.67E-09	3.43E-07	9.44E-08	3.83E-09	2.70E-10	3.80E-12	4.50E-06	89.57770178	24.6290174	3.637079804	1	4835	159	337.836	104.027	13.552	28.726	29.843	34.315	4.472	669.5	658.3	370.8	12.87643433	12.98934937	12.9826355	45.16534424	43.83290953
1	6/6/21 4:40 AM	5.79E-09	3.88E-07	9.91E-08	3.94E-09	2.78E-10	4.02E-12	4.52E-06	98.27119787	25.14146504	3.908729969	1	4835	159	337.836	104.027	13.552	28.726	29.843	34.315	4.472	669.5	658.3	370.8	12.87826538	12.9894104	12.98376465	45.16549683	45.27901552
2	6/6/21 4:40 AM	6.10E-09	4.02E-07	1.01E-07	3.98E-09	2.82E-10	3.85E-12	4.52E-06	101.1261001	25.38276281	3.984046214	1	4835	159	337.369	103.904	13.561	28.738	29.853	34.322	4.469	669.5	658.2	370.5	12.87768555	12.98989868	12.98468018	45.159729	47.59207473
3	6/6/21 4:40 AM	6.28E-09	4.10E-07	1.02E-07	3.98E-09	2.82E-10	3.58E-12	4.50E-06	102.8478498	25.52607899	4.029128401	1	4835	159	337.369	103.904	13.561	28.738	29.853	34.322	4.469	669.5	658.2	370.5	12.87936401	12.99127197	12.98513794	45.17419434	49.24064189
4	6/6/21 4:40 AM	6.39E-09	4.13E-07	1.02E-07	3.98E-09	2.81E-10	3.55E-12	4.50E-06	103.6781026	25.60992077	4.048357023	1	4835	159	337.369	103.904	13.561	28.738	29.853	34.322	4.469	669.5	658.2	370.5	12.87872315	12.99075317	12.98449707	45.16326904	49.59494163
5	6/6/21 4:40 AM	6.41E-09	4.13E-07	1.02E-07	3.97E-09	2.82E-10	3.76E-12	4.50E-06	104.1506598	25.68498861	4.054923341	1	4835	159	337.369	103.904	13.561	28.738	29.853	34.322	4.469	669.5	658.2	370.5	12.87887573	12.99026489	12.98519898	45.16775513	51.23137863
6	6/6/21 4:40 AM	6.41E-09	4.14E-07	1.02E-07	3.96E-09	2.81E-10	3.40E-12	4.50E-06	104.4470215	25.70320938	4.063578986	1	4835	159	337.369	103.904	13.561	28.738	29.853	34.322	4.469	669.5	658.2	370.5	12.87948608	12.99060059	12.98596191	45.16619873	51.41503879
7	6/6/21 4:40 AM	6.41E-09	4.14E-07	1.02E-07	3.97E-09	2.81E-10	3.35E-12	4.50E-06	104.241978	25.64633238	4.064595923	1	4835	159	337.369	103.904	13.561	28.738	29.853	34.322	4.469	669.5	658.2	370.5	12.878479	12.99026489	12.98571777	45.16873169	53.18338939
8	6/6/21 4:40 AM	6.40E-09	4.15E-07	1.02E-07	3.95E-09	2.80E-10	3.44E-12	4.50E-06	104.8292705	25.74184157	4.072329877	1	4835	159	337.369	103.904	13.561	28.738	29.853	34.322	4.469	669.5	658.2	370.5	12.88110352	12.99020386	12.98654175	45.17489624	53.37038741
9	6/6/21 4:40 AM	6.39E-09	4.15E-07	1.02E-07	3.97E-09	2.80E-10	3.31E-12	4.50E-06	104.6042059	25.70226902	4.069843244	1	4835	159	337.369	103.904	13.561	28.738	29.853	34.322	4.469	669.5	658.2	370.5	12.88171387	12.98947144	12.98703003	45.17001343	57.12000127
