cycle #	time	18.03	28.06	32.03	40.06	44.12	45.12	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
51696	6/7/21 12:00 AM	4.59E-09	2.81E-07	7.22E-08	2.82E-09	1.77E-10	2.77E-12	3.51E-06	99.57086309	25.557014	3.89602882	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11923218	14.24664307	14.19821167	45.2638855	100.1037368
51697	6/7/21 12:00 AM	4.59E-09	2.82E-07	7.24E-08	2.83E-09	1.78E-10	2.66E-12	3.52E-06	99.56287193	25.55735069	3.895664818	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11688232	14.24533081	14.19821167	45.25500488	101.575637
51698	6/7/21 12:00 AM	4.61E-09	2.82E-07	7.23E-08	2.82E-09	1.78E-10	2.46E-12	3.51E-06	99.78608013	25.59452011	3.89872831	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11685181	14.24462891	14.19775391	45.26318359	100.5922875
51699	6/7/21 12:00 AM	4.62E-09	2.81E-07	7.22E-08	2.82E-09	1.78E-10	2.60E-12	3.51E-06	99.65590617	25.59024299	3.894293079	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11734009	14.2442627	14.19723511	45.26556397	102.5859286
51700	6/7/21 12:00 AM	4.61E-09	2.81E-07	7.22E-08	2.83E-09	1.79E-10	2.49E-12	3.51E-06	99.49219214	25.53836896	3.895792731	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11557007	14.24349976	14.19689941	45.26150513	101.2268485
51701	6/7/21 12:00 AM	4.60E-09	2.82E-07	7.23E-08	2.83E-09	1.78E-10	2.52E-12	3.52E-06	99.62250323	25.56137241	3.897384758	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11505127	14.2428894	14.19549561	45.25909424	101.370597
51702	6/7/21 12:00 AM	4.60E-09	2.83E-07	7.25E-08	2.84E-09	1.77E-10	2.65E-12	3.51E-06	99.63281841	25.57296485	3.896021404	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.1138916	14.24078369	14.19622803	45.2616272	99.84854212
51703	6/7/21 12:00 AM	4.63E-09	2.82E-07	7.23E-08	2.83E-09	1.77E-10	2.56E-12	3.52E-06	99.66947512	25.56907625	3.898047554	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11419678	14.24105835	14.19525147	45.26431274	99.47605445
51704	6/7/21 12:00 AM	4.66E-09	2.82E-07	7.24E-08	2.83E-09	1.78E-10	2.55E-12	3.52E-06	99.63275386	25.5734949	3.895938128	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11297607	14.23962402	14.19503784	45.26443481	100.6462286
51705	6/7/21 12:00 AM	4.67E-09	2.82E-07	7.25E-08	2.84E-09	1.77E-10	2.68E-12	3.52E-06	99.57848513	25.56728787	3.89476137	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11276245	14.24252319	14.19494629	45.25601196	101.3346174
51706	6/7/21 12:00 AM	4.67E-09	2.82E-07	7.25E-08	2.84E-09	1.78E-10	2.66E-12	3.52E-06	99.5502004	25.56115034	3.894589995	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11431885	14.24414063	14.19326782	45.26486206	100.7447812
51707	6/7/21 12:00 AM	4.68E-09	2.82E-07	7.25E-08	2.84E-09	1.78E-10	2.51E-12	3.51E-06	99.58974581	25.57078767	3.894668678	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11273193	14.24539185	14.19424439	45.26727295	101.6533727
51708	6/7/21 12:00 AM	4.67E-09	2.82E-07	7.25E-08	2.84E-09	1.78E-10	2.79E-12	3.52E-06	99.56092734	25.56915444	3.893790371	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11196899	14.24130249	14.19372559	45.2654419	100.8518999
51709	6/7/21 12:00 AM	4.68E-09	2.83E-07	7.25E-08	2.83E-09	1.78E-10	2.56E-12	3.52E-06	99.71440148	25.5831514	3.897659046	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.1131897	14.24066162	14.19241333	45.26556397	99.59328827
51710	6/7/21 12:00 AM	4.70E-09	2.82E-07	7.25E-08	2.84E-09	1.77E-10	2.45E-12	3.54E-06	99.44269074	25.54749284	3.892463787	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.1116333	14.24258423	14.19125366	45.26739502	100.3798971
51711	6/7/21 12:00 AM	4.72E-09	2.85E-07	7.31E-08	2.86E-09	1.78E-10	2.74E-12	3.54E-06	99.57899905	25.58153116	3.892612933	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11120606	14.24356079	14.19067383	45.26821899	100.2799404
51712	6/7/21 12:00 AM	4.73E-09	2.84E-07	7.28E-08	2.85E-09	1.78E-10	2.50E-12	3.54E-06	99.61891885	25.56932961	3.896031705	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11172485	14.23995972	14.19122315	45.26852417	99.31040706
51713	6/7/21 12:00 AM	4.74E-09	2.83E-07	7.27E-08	2.84E-09	1.78E-10	2.38E-12	3.52E-06	99.70159903	25.59795225	3.894905266	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11190796	14.2383728	14.19143677	45.2654419	98.64625074
51714	6/7/21 12:00 AM	4.75E-09	2.83E-07	7.27E-08	2.84E-09	1.78E-10	2.45E-12	3.52E-06	99.75875368	25.60698846	3.895762825	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11056519	14.23718262	14.19070435	45.26333618	100.0040533
51715	6/7/21 12:00 AM	4.74E-09	2.83E-07	7.26E-08	2.84E-09	1.77E-10	2.49E-12	3.52E-06	99.656766	25.58185516	3.895603559	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.11068726	14.23452759	14.19122315	45.26712036	99.72267657
51716	6/7/21 12:00 AM	4.72E-09	2.82E-07	7.25E-08	2.83E-09	1.78E-10	2.45E-12	3.52E-06	99.7818971	25.63157395	3.892928982	1	4835	159	341.961	108.289	14.829	28.032	29.224	33.707	4.483	654	650.7	328.7	14.1105957	14.23129273	14.1895752	45.26766968	98.65695525
51717	6/7/21 12:00 AM	4.70E-09	2.82E-07	7.24E-08	2.83E-09	1.77E-10	2.66E-12	3.52E-06	99.7589373	25.60624862	3.895882555	1	4835	159	341.329	108.061	14.818	28.058	29.246	33.733	4.486	654.2	650.7	329.1	14.11022949	14.23120117	14.18936157	45.26123047	98.27284832
51718	6/7/21 12:00 AM	4.72E-09	2.83E-07	7.26E-08	2.84E-09	1.78E-10	2.36E-12	3.52E-06	99.69644556	25.58900942	3.896065061	1	4835	159	341.329	108.061	14.818	28.058	29.246	33.733	4.486	654.2	650.7	329.1	14.10906982	14.23480225	14.18804932	45.27008057	98.6076464
51719	6/7/21 12:00 AM	4.72E-09	2.83E-07	7.27E-08	2.84E-09	1.77E-10	2.50E-12	3.54E-06	99.59528785	25.57869513	3.893681337	1	4835	159	341.329	108.061	14.818	28.058	29.246	33.733	4.486	654.2	650.7	329.1	14.10913086	14.23669434	14.18869019	45.26937866	98.59537514
51720	6/7/21 12:00 AM	4.73E-09	2.83E-07	7.27E-08	2.84E-09	1.78E-10	2.51E-12	3.54E-06	99.62431623	25.57034065	3.896088738	1	4835	159	341.329	108.061	14.818	28.058	29.246	33.733	4.486	654.2	650.7	329.1	14.10745239	14.23352051	14.18899536	45.26727295	97.61483251
51721	6/7/21 12:00 AM	4.76E-09	2.84E-07	7.28E-08	2.84E-09	1.78E-10	2.82E-12	3.52E-06	99.7295569	25.60010593	3.895669696	1	4835	159	341.329	108.061	14.818	28.058	29.246	33.733	4.486	654.2	650.7	329.1	14.10848999	14.23391724	14.18777466	45.26626587	99.45841147
51722	6/7/21 12:00 AM	4.75E-09	2.83E-07	7.26E-08	2.84E-09	1.77E-10	2.43E-12	3.52E-06	99.48307217	25.56773977	3.89096076	1	4835	159	341.329	108.061	14.818	28.058	29.246	33.733	4.486	654.2	650.7	329.1	14.10629273	14.23324585	14.18728638	45.26672363	99.11276292
