cycle #	time	18.03	28.06	32.03	40.06	44.12	45.12	TP	N2/Ar	O2/Ar	N2/O2		ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
85045	6/7/21 12:00 PM	-1.88E-13	-2.14E-13	-1.91E-13	-1.94E-13	-1.99E-13	-2.07E-13	2.80E-08	1.098588861	0.981996118	1.11873035		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.8109436	12.92449951	12.88562012	45.41552734	98.98203169
85046	6/7/21 12:00 PM	-1.87E-13	-1.86E-13	-1.98E-13	-1.91E-13	-2.03E-13	-1.96E-13	2.81E-08	0.97315615	1.03733934	0.938127103		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.8109436	12.92431641	12.8848877	45.41552734	100.6441931
85047	6/7/21 12:00 PM	-1.88E-13	-2.03E-13	-1.88E-13	-2.08E-13	-1.98E-13	-1.87E-13	2.81E-08	0.976238212	0.901916888	1.082403739		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80941773	12.92401123	12.8840332	45.41156006	100.4805889
85048	6/7/21 12:00 PM	-2.16E-13	-1.89E-13	-1.96E-13	-1.96E-13	-1.96E-13	-1.95E-13	2.80E-08	0.964586344	1.001741813	0.962909137		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.8095398	12.92248535	12.88375855	45.41085815	101.1179393
85049	6/7/21 12:00 PM	-1.87E-13	-2.14E-13	-2.00E-13	-1.86E-13	-1.99E-13	-2.00E-13	2.81E-08	1.146462506	1.07047455	1.070985298		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80825806	12.92288208	12.88381958	45.41213989	100.0201395
85050	6/7/21 12:00 PM	-1.86E-13	-2.08E-13	-1.99E-13	-2.11E-13	-1.99E-13	-1.94E-13	2.80E-08	0.987836993	0.943060677	1.047479783		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80908203	12.92276001	12.8838501	45.41641235	100.263628
85051	6/7/21 12:00 PM	-2.04E-13	-2.02E-13	-1.93E-13	-1.89E-13	-2.01E-13	-2.08E-13	2.80E-08	1.070006826	1.01737133	1.051736759		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80792236	12.9251709	12.88296509	45.41311646	101.9012338
85052	6/7/21 12:00 PM	-1.91E-13	-1.83E-13	-2.12E-13	-1.99E-13	-1.92E-13	-1.89E-13	2.81E-08	0.920853044	1.066971025	0.863053468		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80667114	12.92593384	12.88247681	45.4105835	101.2796492
85053	6/7/21 12:00 PM	-2.11E-13	-2.01E-13	-1.95E-13	-2.00E-13	-2.03E-13	-1.97E-13	2.81E-08	1.00173715	0.973366403	1.029147038		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80648804	12.92495728	12.88165283	45.41311646	101.3836205
85054	6/7/21 12:00 PM	-1.93E-13	-2.12E-13	-1.98E-13	-1.93E-13	-2.03E-13	-2.06E-13	2.79E-08	1.095505353	1.026596764	1.067123325		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80673218	12.92364502	12.88156128	45.41256714	100.6552659
85055	6/7/21 12:00 PM	-2.14E-13	-2.08E-13	-2.00E-13	-1.95E-13	-2.03E-13	-2.13E-13	2.80E-08	1.068484524	1.025392459	1.042024948		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80584717	12.92312622	12.88088989	45.41085815	101.0892536
85056	6/7/21 12:00 PM	-1.92E-13	-2.05E-13	-1.98E-13	-1.92E-13	-1.98E-13	-2.01E-13	2.81E-08	1.068398513	1.032081374	1.035188251		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.8067627	12.9213562	12.88116455	45.40802002	102.8173171
85057	6/7/21 12:00 PM	-2.04E-13	-2.03E-13	-1.97E-13	-2.00E-13	-2.13E-13	-2.08E-13	2.80E-08	1.017438476	0.985869585	1.032021366		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80456543	12.91744995	12.88146973	45.41085815	102.2597946
85058	6/7/21 12:00 PM	-2.06E-13	-1.99E-13	-1.94E-13	-2.05E-13	-1.93E-13	-1.98E-13	2.79E-08	0.971277466	0.947808824	1.024760945		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80410767	12.9190979	12.88067627	45.41241455	102.3264293
85059	6/7/21 12:00 PM	-2.07E-13	-1.93E-13	-1.98E-13	-1.94E-13	-2.07E-13	-1.87E-13	2.80E-08	0.990436844	1.016645894	0.97422008		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80377197	12.91799927	12.88009644	45.40646362	101.0719989
85060	6/7/21 12:00 PM	-2.06E-13	-2.19E-13	-1.95E-13	-1.86E-13	-2.14E-13	-2.11E-13	2.81E-08	1.179193097	1.049627362	1.123439746		4835	159	325.336	99.989	13.467	29.187	30.254	34.727	4.472	682.7	658.4	373.6	12.80355835	12.91723633	12.88076782	45.4090271	100.2047301
