cycle #	time	18.03	28.06	32.03	40.06	44.12	45.12	TP	N2/Ar	O2/Ar	N2/O2		ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/7/21 12:43 PM	2.69E-08	3.21E-07	8.57E-08	3.44E-09	3.23E-10	3.92E-12	3.76E-06	93.57001352	24.92885182	3.75348268		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.79827881	11.92919922	11.90264893	45.44476318	1.083012138
1	6/7/21 12:43 PM	3.47E-08	3.54E-07	8.86E-08	3.46E-09	3.22E-10	3.63E-12	3.76E-06	102.3324637	25.65029813	3.989523365		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.79882813	11.92904663	11.90151978	45.4437561	5.478765283
2	6/7/21 12:43 PM	3.56E-08	3.56E-07	8.87E-08	3.45E-09	3.20E-10	3.71E-12	3.76E-06	103.164976	25.72240017	4.010705663		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.79806519	11.92773438	11.90298462	45.44573975	2.071570681
3	6/7/21 12:43 PM	3.54E-08	3.57E-07	8.87E-08	3.44E-09	3.18E-10	3.71E-12	3.76E-06	103.6557556	25.75632211	4.024478153		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.79818726	11.92855835	11.90264893	45.44436646	1.74778563
4	6/7/21 12:43 PM	3.52E-08	3.56E-07	8.84E-08	3.43E-09	3.15E-10	3.65E-12	3.76E-06	103.8468952	25.75647168	4.031875815		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.79724121	11.92996216	11.90280151	45.44647217	10.08802166
5	6/7/21 12:43 PM	3.50E-08	3.56E-07	8.82E-08	3.43E-09	3.12E-10	3.60E-12	3.76E-06	104.0239759	25.76009192	4.038183414		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.79803467	11.93017578	11.90066528	45.44009399	20.52176074
6	6/7/21 12:43 PM	3.50E-08	3.54E-07	8.77E-08	3.41E-09	3.11E-10	3.51E-12	3.76E-06	103.9936555	25.72536655	4.042455734		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.79818726	11.927948	11.90093994	45.44293213	24.23712394
7	6/7/21 12:43 PM	3.49E-08	3.55E-07	8.77E-08	3.41E-09	3.10E-10	3.68E-12	3.75E-06	104.0206855	25.7141593	4.045268767		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.79699707	11.92874146	11.90151978	45.44418335	26.66950768
8	6/7/21 12:43 PM	3.51E-08	3.53E-07	8.73E-08	3.39E-09	3.08E-10	3.63E-12	3.75E-06	104.1228079	25.72543146	4.04746595		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.79727173	11.92858887	11.90115356	45.44647217	28.78531129
9	6/7/21 12:43 PM	3.57E-08	3.53E-07	8.72E-08	3.40E-09	3.08E-10	3.57E-12	3.76E-06	104.0748223	25.69597412	4.050238446		4835	159	340.552	102.294	12.443	29.136	30.209	34.672	4.463	682.3	665.4	407.2	11.796875	11.92819214	11.89981079	45.43994141	31.84259013
10	6/7/21 12:43 PM	3.61E-08	3.51E-07	8.68E-08	3.37E-09	3.06E-10	4.56E-12	3.75E-06	104.1293701	25.70429526	4.051049407		4835	159	339.86	102.076	12.439	29.161	30.231	34.694	4.463	682.4	665.5	407.3	11.79644775	11.9281311	11.90036011	45.44219971	35.57943671
