cycle #	time	18.03	28.06	32.03	40.06	44.12	45.12	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
331920	6/12/21 12:00 PM	4.35E-09	2.51E-07	6.67E-08	2.44E-09	1.40E-10	1.76E-12	3.52E-06	102.868333	27.37215999	3.758137213	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.63412476	12.8996582	12.73422241	46.26144409	100.6303309
331921	6/12/21 12:00 PM	4.36E-09	2.49E-07	6.64E-08	2.43E-09	1.40E-10	1.79E-12	3.54E-06	102.5604538	27.3192175	3.754150493	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.63412476	12.89883423	12.7333374	46.26452637	99.97384324
331922	6/12/21 12:00 PM	4.32E-09	2.50E-07	6.68E-08	2.45E-09	1.41E-10	1.89E-12	3.54E-06	102.4131474	27.30464032	3.750759806	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.63369751	12.89761353	12.7338562	46.26303101	100.9032023
331923	6/12/21 12:00 PM	4.32E-09	2.50E-07	6.66E-08	2.44E-09	1.40E-10	1.72E-12	3.54E-06	102.3071515	27.26942851	3.751716008	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.63439941	12.89691162	12.73510742	46.25744629	103.496697
331924	6/12/21 12:00 PM	4.34E-09	2.50E-07	6.66E-08	2.44E-09	1.40E-10	1.70E-12	3.54E-06	102.5414206	27.32566965	3.752567528	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.63452148	12.8984375	12.73425293	46.25994873	102.4280164
331925	6/12/21 12:00 PM	4.32E-09	2.50E-07	6.66E-08	2.44E-09	1.40E-10	1.85E-12	3.54E-06	102.5679135	27.32080987	3.754204724	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.6350708	12.90063477	12.73391724	46.25863648	98.76673484
331926	6/12/21 12:00 PM	4.35E-09	2.50E-07	6.67E-08	2.44E-09	1.41E-10	2.19E-12	3.56E-06	102.4567115	27.31823547	3.750487898	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.63589478	12.90231323	12.73501587	46.26364136	100.0443489
331927	6/12/21 12:00 PM	4.35E-09	2.50E-07	6.66E-08	2.44E-09	1.39E-10	1.94E-12	3.54E-06	102.6472249	27.33830154	3.754703809	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.63574219	12.90512085	12.73425293	46.25848389	101.4338109
331928	6/12/21 12:00 PM	4.34E-09	2.49E-07	6.65E-08	2.43E-09	1.40E-10	1.81E-12	3.52E-06	102.6306989	27.34778678	3.752797247	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.63598633	12.90686035	12.7350769	46.26272583	98.908735
331929	6/12/21 12:00 PM	4.34E-09	2.49E-07	6.63E-08	2.43E-09	1.40E-10	1.77E-12	3.54E-06	102.5327462	27.32372443	3.752517211	2	4835	159	379.955	116.348	13.302	27.536	28.781	33.204	4.423	639.8	659.4	379	12.63577271	12.90628052	12.73376465	46.25772095	98.7665986
