cycle #	time	18.06	28.06	32.03	40.06	44.09	45.09	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/14/17 20:01	3.64E-09	2.49E-07	6.43E-08	2.71E-09	1.47E-10	2.61E-12	4.76E-06	92.09340237	23.750452	3.877543147	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.57843018	12.68496704	12.64987183	45.93356323	100.1677988
1	6/14/17 20:01	4.25E-09	2.72E-07	6.69E-08	2.76E-09	1.51E-10	2.08E-12	4.78E-06	98.42729457	24.23870402	4.060749061	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.57769775	12.68585205	12.65090942	45.93832398	99.82402879
2	6/14/17 20:01	4.43E-09	2.80E-07	6.80E-08	2.77E-09	1.53E-10	2.06E-12	4.76E-06	100.883936	24.51935457	4.114461321	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.57699585	12.68600464	12.65133667	45.94265747	100.6295204
3	6/14/17 20:01	4.50E-09	2.82E-07	6.84E-08	2.77E-09	1.53E-10	2.32E-12	4.76E-06	101.857557	24.64983309	4.132180395	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.5786438	12.68557739	12.65072632	45.94281006	100.4011663
4	6/14/17 20:01	4.53E-09	2.83E-07	6.84E-08	2.77E-09	1.52E-10	2.19E-12	4.76E-06	102.2904983	24.66694411	4.146865449	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.57821655	12.68667603	12.65057373	45.94049072	101.6538345
5	6/14/17 20:01	4.55E-09	2.84E-07	6.85E-08	2.78E-09	1.51E-10	2.36E-12	4.76E-06	102.4868453	24.68583614	4.151645695	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.57788086	12.68887329	12.65118408	45.94366455	100.9004695
6	6/14/17 20:01	4.54E-09	2.85E-07	6.86E-08	2.77E-09	1.52E-10	2.32E-12	4.78E-06	102.6764893	24.73287993	4.151416639	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.57833862	12.68908691	12.65155029	45.94906616	99.45504442
7	6/14/17 20:01	4.56E-09	2.86E-07	6.86E-08	2.77E-09	1.51E-10	2.12E-12	4.76E-06	103.2428918	24.80250608	4.162599194	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.57766724	12.68807983	12.65264893	45.95153809	99.81690543
8	6/14/17 20:01	4.56E-09	2.84E-07	6.84E-08	2.76E-09	1.51E-10	2.11E-12	4.76E-06	103.1673914	24.79565136	4.160705033	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.57849121	12.6892395	12.65103149	45.9503479	99.75549075
9	6/14/17 20:01	4.55E-09	2.85E-07	6.84E-08	2.76E-09	1.51E-10	2.12E-12	4.76E-06	102.9491254	24.74479772	4.160435118	1	4835	159	344.502	105.321	13.229	28.652	29.777	34.184	4.407	668.1	650.7	381.4	12.57870483	12.68960571	12.6519165	45.95108032	101.213203
