cycle #	time	18.06	28.09	32.12	40.12	44.12	45.12	TP	N2/Ar	O2/Ar	N2/O2	Valve	ID	S#	O2 (uM)	O2 Sat (%)	Temp (C)	Calphase (C)	TCphase (C)	C1 (C)	C2 (C)	C1amp (mV)	C2amp (mV)	Temp (mV)	inlet	sock	outlet	MS	flow
0	6/26/21 6:47 AM	3.30E-09	2.35E-07	5.84E-08	2.33E-09	1.38E-10	1.77E-12	4.15E-06	101.08987	25.08406341	4.030043633	2	4835	159	339.436	109.737	15.791	27.704	28.931	33.4	4.469	621	630	296.9	15.04074097	15.12411499	15.12316895	45.88092041	31.04745482
1	6/26/21 6:47 AM	3.46E-09	2.41E-07	5.86E-08	2.32E-09	1.39E-10	1.79E-12	4.13E-06	104.082538	25.26257699	4.120028533	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04122925	15.12426758	15.1227417	45.88034058	32.57365863
2	6/26/21 6:47 AM	3.48E-09	2.42E-07	5.85E-08	2.32E-09	1.37E-10	1.64E-12	4.15E-06	104.5415791	25.26123305	4.138419486	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.03948975	15.12579346	15.12255859	45.87527466	34.17948957
3	6/26/21 6:47 AM	3.49E-09	2.43E-07	5.85E-08	2.31E-09	1.37E-10	1.63E-12	4.15E-06	105.0873912	25.33375193	4.148117955	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04180908	15.1255188	15.12289429	45.87597656	36.33206573
4	6/26/21 6:47 AM	3.47E-09	2.43E-07	5.84E-08	2.30E-09	1.37E-10	1.57E-12	4.15E-06	105.3076794	25.35893304	4.152685731	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04101563	15.12619019	15.12301636	45.87976074	37.91515107
5	6/26/21 6:47 AM	3.48E-09	2.42E-07	5.83E-08	2.30E-09	1.36E-10	1.54E-12	4.15E-06	105.47669	25.38767373	4.15464178	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04074097	15.1255188	15.1239624	45.88165283	39.69442685
6	6/26/21 6:47 AM	3.47E-09	2.42E-07	5.82E-08	2.29E-09	1.35E-10	1.59E-12	4.15E-06	105.5971142	25.39871388	4.157577218	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04129028	15.12524414	15.12307739	45.890625	42.16853862
7	6/26/21 6:47 AM	3.46E-09	2.41E-07	5.80E-08	2.28E-09	1.35E-10	1.26E-12	4.15E-06	105.5608358	25.39220911	4.157213552	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04202271	15.12582398	15.1234436	45.89801025	45.29705748
8	6/26/21 6:47 AM	3.45E-09	2.41E-07	5.80E-08	2.28E-09	1.35E-10	1.73E-12	4.15E-06	105.821518	25.43795624	4.159985065	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04202271	15.12533569	15.12402344	45.90496826	46.71491818
9	6/26/21 6:47 AM	3.45E-09	2.41E-07	5.79E-08	2.27E-09	1.34E-10	1.72E-12	4.15E-06	105.8658428	25.437978	4.161723972	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04208374	15.12661743	15.12414551	45.90975952	48.95669996
10	6/26/21 6:47 AM	3.45E-09	2.40E-07	5.77E-08	2.27E-09	1.34E-10	1.53E-12	4.15E-06	105.6196985	25.40576974	4.157311491	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04244995	15.1270752	15.12490845	45.90933228	50.77215039
11	6/26/21 6:47 AM	3.44E-09	2.40E-07	5.77E-08	2.27E-09	1.34E-10	1.60E-12	4.15E-06	105.7510249	25.42681793	4.159034966	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04275513	15.12744141	15.12484741	45.9090271	53.85133121
12	6/26/21 6:47 AM	3.44E-09	2.39E-07	5.75E-08	2.26E-09	1.34E-10	1.74E-12	4.13E-06	105.6787061	25.41584685	4.157984849	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04315186	15.12667847	15.12536621	45.91119385	55.4571144
13	6/26/21 6:47 AM	3.43E-09	2.39E-07	5.74E-08	2.26E-09	1.33E-10	1.75E-12	4.13E-06	105.5716247	25.3927399	4.157551534	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.04312134	15.12939453	15.1255188	45.9168396	57.05919966
14	6/26/21 6:47 AM	3.43E-09	2.38E-07	5.73E-08	2.25E-09	1.33E-10	1.68E-12	4.13E-06	105.7510442	25.43582927	4.157562274	2	4835	159	339.58	109.801	15.799	27.696	28.924	33.394	4.47	621.1	630.3	296.7	15.0435791	15.12924194	15.12503052	45.91290283	58.4153586
